EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2020,WS2030,WS2040,WS2050,WS2060,WS2070
815,655,FREEPORT,MUNICIPAL,H,BRAZORIA,N,BRAZOS RUN-OF-RIVER,2240,2240,2240,2240,2240,2240
816,307,FREER,MUNICIPAL,N,DUVAL,N,GULF COAST AQUIFER | DUVAL,931,931,931,931,931,931
817,310,FRIENDSWOOD,MUNICIPAL,H,GALVESTON,Y,GULF COAST AQUIFER | GALVESTON,420,464,464,469,483,501
817,315,FRIENDSWOOD,MUNICIPAL,H,HARRIS,Y,GULF COAST AQUIFER | HARRIS,252,327,493,518,544,572
817,410,FRIENDSWOOD,MUNICIPAL,H,GALVESTON,Y,LIVINGSTON-WALLISVILLE LAKE/RESERVOIR SYSTEM,9398,9049,8933,8847,8802,8760
817,410,FRIENDSWOOD,MUNICIPAL,H,HARRIS,Y,LIVINGSTON-WALLISVILLE LAKE/RESERVOIR SYSTEM,4042,4391,4507,4593,4638,4680
818,498,FRIONA,MUNICIPAL,O,PARMER,N,OGALLALA AQUIFER | PARMER,800,850,910,1000,1055,1055
819,149,FRISCO,MUNICIPAL,C,COLLIN,Y,CHAPMAN/COOPER LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,2588,2930,3069,2726,2475,2253
819,149,FRISCO,MUNICIPAL,C,DENTON,Y,CHAPMAN/COOPER LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,1726,1954,2046,1818,1650,1502
819,279,FRISCO,MUNICIPAL,C,COLLIN,Y,FORK LAKE/RESERVOIR,1305,0,0,0,0,0
819,279,FRISCO,MUNICIPAL,C,DENTON,Y,FORK LAKE/RESERVOIR,870,0,0,0,0,0
819,390,FRISCO,MUNICIPAL,C,COLLIN,Y,TRINITY INDIRECT REUSE,5986,8536,10479,10687,10383,9791
819,390,FRISCO,MUNICIPAL,C,DENTON,Y,TRINITY INDIRECT REUSE,3990,5690,6987,7125,6922,6526
819,403,FRISCO,MUNICIPAL,C,COLLIN,Y,LAVON LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,5437,6142,6417,5687,5150,4677
819,403,FRISCO,MUNICIPAL,C,DENTON,Y,LAVON LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,3625,4095,4278,3792,3434,3118
819,738,FRISCO,MUNICIPAL,C,COLLIN,Y,TAWAKONI LAKE/RESERVOIR,2002,797,841,752,699,640
819,738,FRISCO,MUNICIPAL,C,DENTON,Y,TAWAKONI LAKE/RESERVOIR,1335,531,560,501,466,426
819,745,FRISCO,MUNICIPAL,C,COLLIN,Y,TEXOMA LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,4439,5050,5313,4742,4325,3956
819,745,FRISCO,MUNICIPAL,C,DENTON,Y,TEXOMA LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,2960,3367,3542,3161,2884,2637
820,465,FRITCH,MUNICIPAL,A,HUTCHINSON,Y,OGALLALA AQUIFER | CARSON,437,441,436,434,433,433
820,465,FRITCH,MUNICIPAL,A,MOORE,Y,OGALLALA AQUIFER | CARSON,5,5,5,5,5,5
821,453,FROST,MUNICIPAL,C,NAVARRO,N,NAVARRO MILLS LAKE/RESERVOIR,57,39,38,37,35,33
821,652,FROST,MUNICIPAL,C,NAVARRO,N,RICHLAND CHAMBERS LAKE/RESERVOIR NON-SYSTEM PORTION,12,8,8,7,7,7
821,848,FROST,MUNICIPAL,C,NAVARRO,N,WOODBINE AQUIFER | NAVARRO,16,16,16,16,16,16
822,309,FULSHEAR,MUNICIPAL,H,FORT BEND,N,GULF COAST AQUIFER | FORT BEND,937,748,709,679,656,630
823,163,FULTON,MUNICIPAL,N,ARANSAS,N,CORPUS CHRISTI-CHOKE CANYON LAKE/RESERVOIR SYSTEM,139,139,137,137,137,137
823,742,FULTON,MUNICIPAL,N,ARANSAS,N,TEXANA LAKE/RESERVOIR,139,140,138,138,138,138
825,315,GALENA PARK,MUNICIPAL,H,HARRIS,N,GULF COAST AQUIFER | HARRIS,50,53,71,68,66,65
825,410,GALENA PARK,MUNICIPAL,H,HARRIS,N,LIVINGSTON-WALLISVILLE LAKE/RESERVOIR SYSTEM,912,912,912,912,912,912
828,317,GANADO,MUNICIPAL,P,JACKSON,N,GULF COAST AQUIFER | JACKSON,270,270,270,270,270,270
829,210,GARDEN RIDGE,MUNICIPAL,L,COMAL,N,EDWARDS-BFZ AQUIFER | COMAL,333,333,333,333,333,333
829,764,GARDEN RIDGE,MUNICIPAL,L,COMAL,N,TRINITY AQUIFER | COMAL,306,306,306,306,306,306
830,112,GARRISON,MUNICIPAL,I,NACOGDOCHES,N,CARRIZO-WILCOX AQUIFER | NACOGDOCHES,565,565,565,565,565,565
831,149,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,CHAPMAN/COOPER LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,66,73,79,86,97,75
831,279,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,FORK LAKE/RESERVOIR,33,0,0,0,0,0
831,390,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,153,212,268,335,408,326
831,403,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,LAVON LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,137,154,163,177,201,156
831,738,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,TAWAKONI LAKE/RESERVOIR,51,20,22,24,27,21
831,745,GASTONIA-SCURRY SUD,MUNICIPAL,C,KAUFMAN,N,TEXOMA LAKE/RESERVOIR NORTH TEXAS MWD SYSTEM,113,126,136,149,170,131
832,54,GATESVILLE,MUNICIPAL,G,CORYELL,N,BRAZOS RIVER AUTHORITY LITTLE RIVER LAKE/RESERVOIR SYSTEM,4452,4310,4126,3710,3506,3258
833,327,GEORGE WEST,MUNICIPAL,N,LIVE OAK,N,GULF COAST AQUIFER | LIVE OAK,877,877,877,877,877,877
834,54,GEORGETOWN,MUNICIPAL,G,WILLIAMSON,N,BRAZOS RIVER AUTHORITY LITTLE RIVER LAKE/RESERVOIR SYSTEM,17279,17263,17248,17234,17221,17207
834,217,GEORGETOWN,MUNICIPAL,G,WILLIAMSON,N,EDWARDS-BFZ AQUIFER | WILLIAMSON,265,330,722,945,945,945
835,791,GHOLSON,MUNICIPAL,G,MCLENNAN,N,TRINITY AQUIFER | MCLENNAN,927,927,927,927,927,927
836,101,GIDDINGS,MUNICIPAL,G,LEE,N,CARRIZO-WILCOX AQUIFER | LEE,1734,1733,1732,1731,1730,1729
837,94,GILL WSC,MUNICIPAL,D,HARRISON,Y,CARRIZO-WILCOX AQUIFER | HARRISON,250,250,250,250,250,250
837,94,GILL WSC,MUNICIPAL,I,PANOLA,Y,CARRIZO-WILCOX AQUIFER | HARRISON,126,126,126,126,126,126
837,457,GILL WSC,MUNICIPAL,D,HARRISON,Y,O' THE PINES LAKE/RESERVOIR,67,67,67,67,67,67
837,457,GILL WSC,MUNICIPAL,I,PANOLA,Y,O' THE PINES LAKE/RESERVOIR,33,33,33,33,33,33
838,125,GILMER,MUNICIPAL,D,UPSHUR,N,CARRIZO-WILCOX AQUIFER | UPSHUR,1094,1094,1094,1094,1094,1094
838,287,GILMER,MUNICIPAL,D,UPSHUR,N,GILMER LAKE/RESERVOIR,0,0,0,0,0,0
839,288,GLADEWATER,MUNICIPAL,D,GREGG,Y,GLADEWATER LAKE/RESERVOIR,982,987,999,1013,1030,1113
839,288,GLADEWATER,MUNICIPAL,D,UPSHUR,Y,GLADEWATER LAKE/RESERVOIR,597,592,580,566,549,566
840,802,GLEN ROSE,MUNICIPAL,G,SOMERVELL,N,TRINITY AQUIFER | SOMERVELL,724,724,724,724,724,724
841,279,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,FORK LAKE/RESERVOIR,155,213,266,322,376,500
841,279,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,FORK LAKE/RESERVOIR,39,50,62,76,92,141
841,390,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,TRINITY INDIRECT REUSE,101,147,181,273,392,583
841,390,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,TRINITY INDIRECT REUSE,25,35,43,64,96,165
841,648,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,RAY HUBBARD LAKE/RESERVOIR,152,188,212,234,248,300
841,648,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,RAY HUBBARD LAKE/RESERVOIR,39,45,50,55,60,85
841,650,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,367,415,454,485,498,580
841,650,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,93,99,106,114,121,164
841,738,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,TAWAKONI LAKE/RESERVOIR,538,653,728,789,828,994
841,738,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,TAWAKONI LAKE/RESERVOIR,136,155,171,185,202,281
841,768,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,TRINITY AQUIFER | DALLAS,75,76,76,76,76,73
841,768,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,TRINITY AQUIFER | DALLAS,19,18,18,18,18,21
841,835,GLENN HEIGHTS,MUNICIPAL,C,DALLAS,Y,WOODBINE AQUIFER | DALLAS,63,64,64,64,64,62
841,835,GLENN HEIGHTS,MUNICIPAL,C,ELLIS,Y,WOODBINE AQUIFER | DALLAS,16,15,15,15,15,17
842,784,GODLEY,MUNICIPAL,G,JOHNSON,N,TRINITY AQUIFER | JOHNSON,159,159,159,159,159,159
844,423,GOLDTHWAITE,MUNICIPAL,K,MILLS,N,MARBLE FALLS AQUIFER | SAN SABA,245,245,245,245,245,245
844,794,GOLDTHWAITE,MUNICIPAL,K,MILLS,N,TRINITY AQUIFER | MILLS,68,68,68,68,68,68
845,311,GOLIAD,MUNICIPAL,L,GOLIAD,N,GULF COAST AQUIFER | GOLIAD,804,804,804,804,804,804
846,90,GONZALES,MUNICIPAL,L,GONZALES,N,CARRIZO-WILCOX AQUIFER | GONZALES,345,345,345,345,345,345
846,661,GONZALES,MUNICIPAL,L,GONZALES,N,GUADALUPE RUN-OF-RIVER,2240,2240,2240,2240,2240,2240
847,64,GONZALES COUNTY WSC,MUNICIPAL,L,CALDWELL,Y,CANYON LAKE/RESERVOIR,19,21,22,23,25,25
847,64,GONZALES COUNTY WSC,MUNICIPAL,L,DEWITT,Y,CANYON LAKE/RESERVOIR,36,34,32,30,28,26
847,64,GONZALES COUNTY WSC,MUNICIPAL,L,GONZALES,Y,CANYON LAKE/RESERVOIR,635,634,634,634,634,635
847,64,GONZALES COUNTY WSC,MUNICIPAL,L,GUADALUPE,Y,CANYON LAKE/RESERVOIR,10,11,12,13,13,14
847,90,GONZALES COUNTY WSC,MUNICIPAL,L,CALDWELL,Y,CARRIZO-WILCOX AQUIFER | GONZALES,53,60,65,69,72,74
847,90,GONZALES COUNTY WSC,MUNICIPAL,L,DEWITT,Y,CARRIZO-WILCOX AQUIFER | GONZALES,104,98,92,85,80,74
847,90,GONZALES COUNTY WSC,MUNICIPAL,L,GONZALES,Y,CARRIZO-WILCOX AQUIFER | GONZALES,1836,1833,1831,1832,1833,1836
847,90,GONZALES COUNTY WSC,MUNICIPAL,L,GUADALUPE,Y,CARRIZO-WILCOX AQUIFER | GONZALES,30,32,35,37,38,39
848,54,GORMAN,MUNICIPAL,G,EASTLAND,N,BRAZOS RIVER AUTHORITY LITTLE RIVER LAKE/RESERVOIR SYSTEM,169,168,166,156,153,149
849,602,GRAFORD,MUNICIPAL,G,PALO PINTO,N,PALO PINTO LAKE/RESERVOIR,92,92,92,92,92,92
850,55,GRAHAM,MUNICIPAL,G,YOUNG,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,1000,1000,1000,1000,1000,1000
850,290,GRAHAM,MUNICIPAL,G,YOUNG,N,GRAHAM/EDDLEMAN LAKE/RESERVOIR,2011,2014,2015,2015,2014,2013
850,597,GRAHAM,MUNICIPAL,G,YOUNG,N,OTHER AQUIFER | YOUNG,194,194,194,194,194,194
851,55,GRANBURY,MUNICIPAL,G,HOOD,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,1400,1400,1400,1400,1400,1400
851,781,GRANBURY,MUNICIPAL,G,HOOD,N,TRINITY AQUIFER | HOOD,706,706,706,683,683,683
853,279,GRAND PRAIRIE,MUNICIPAL,C,DALLAS,Y,FORK LAKE/RESERVOIR,1951,2582,2840,2759,2654,2664
853,279,GRAND PRAIRIE,MUNICIPAL,C,ELLIS,Y,FORK LAKE/RESERVOIR,1,1,1,1,2,2
853,279,GRAND PRAIRIE,MUNICIPAL,C,TARRANT,Y,FORK LAKE/RESERVOIR,609,647,636,618,594,597
853,390,GRAND PRAIRIE,MUNICIPAL,C,DALLAS,Y,TRINITY INDIRECT REUSE,1268,1791,1941,2335,2772,3112
853,390,GRAND PRAIRIE,MUNICIPAL,C,ELLIS,Y,TRINITY INDIRECT REUSE,0,1,1,1,2,2
853,390,GRAND PRAIRIE,MUNICIPAL,C,TARRANT,Y,TRINITY INDIRECT REUSE,396,449,435,523,621,697
853,392,GRAND PRAIRIE,MUNICIPAL,C,DALLAS,Y,JOE POOL LAKE/RESERVOIR,2341,2481,2549,2548,2546,2544
853,392,GRAND PRAIRIE,MUNICIPAL,C,ELLIS,Y,JOE POOL LAKE/RESERVOIR,1,1,1,1,2,2
853,392,GRAND PRAIRIE,MUNICIPAL,C,TARRANT,Y,JOE POOL LAKE/RESERVOIR,730,622,571,571,571,570
