EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,0,0,0,0,0,156
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,0,0,0,0,0,4
166,ADDISON,MUNICIPAL,C,DALLAS,N,278,944,1857,2681,3499,4257
167,AGUA DULCE,MUNICIPAL,N,NUECES,N,0,0,0,0,0,0
168,ALAMO,MUNICIPAL,M,HIDALGO,N,1004,1682,2380,3099,3837,4560
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,796,848,820,807,805,805
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,0,0,0,0,0,0
171,ALEDO,MUNICIPAL,C,PARKER,N,0,0,294,442,471,561
172,ALICE,MUNICIPAL,N,JIM WELLS,N,0,0,0,0,0,0
173,ALLEN,MUNICIPAL,C,COLLIN,N,1613,4753,5938,6732,7563,8495
174,ALPINE,MUNICIPAL,E,BREWSTER,N,0,0,0,0,0,0
175,ALTO,MUNICIPAL,I,CHEROKEE,N,0,0,0,0,0,0
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,0,0,0,66,137,215
177,ALTON,MUNICIPAL,M,HIDALGO,N,785,1238,1704,2178,2657,3127
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,0,0,0,0,0,0
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
180,ALVORD,MUNICIPAL,C,WISE,N,0,0,4,38,65,91
181,AMES,MUNICIPAL,H,LIBERTY,N,0,0,0,0,0,0
182,AMHERST,MUNICIPAL,O,LAMB,N,0,5,8,11,17,22
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,0,0,0,0,0,0
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,1587,2296,2857,4474,6194,7475
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,0,0,0,0,0,0
187,ANNA,MUNICIPAL,C,COLLIN,N,77,296,998,2236,6577,11230
188,ANNETTA,MUNICIPAL,C,PARKER,N,0,0,0,0,0,0
189,ANNETTA SOUTH,MUNICIPAL,C,PARKER,N,0,0,0,0,0,0
